seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Chalakudy, Kerala, India"
2,"Thiruvalla, Kerala, India"
3,"Kollam, Kerala, India"
4,"Karaikal, Puducherry, India"
5,"Mettur, Tamil Nadu, India"
6,"Channapatna, Karnataka, India"
7,"Ramanagara, Karnataka, India"
8,"Chikkaballapura, Karnataka, India"
9,"Dharmavaram, Andhra Pradesh, India"
10,"Markapur, Andhra Pradesh, India"
11,"Kavali, Andhra Pradesh, India"
12,"Chirala, Andhra Pradesh, India"
13,"Bhimavaram, Andhra Pradesh, India"
14,"Vizianagaram, Andhra Pradesh, India"
15,"Port Blair, Andaman and Nicobar Islands, India"
16,"Chatrapur, Odisha, India"
17,"Bhubaneswar, Odisha, India"
18,"Jorapokhar, Jharkhand, India"
19,"Jadugora, Jharkhand, India"
20,"IIT Kharagpur, India"
21,"Medinipur, West Bengal, India"
22,"Haringhata, West Bengal, India"
23,"Paltan Bazaar, Guwahati, Assam, India"
24,"Alipurduar, West Bengal, India"
25,"Jalpaiguri, West Bengal, India"
26,"Manikchak, West Bengal, India"
27,"Suti, West Bengal, India"
28,"Pakur, Jharkhand, India"
29,"Suri, West Bengal, India"
30,"Barh, Bihar, India"
31,"Harnaut, Bihar, India"
32,"Surajpur, Chhattisgarh, India"
33,"Dhanpuri, Madhya Pradesh, India"
34,"Raipur, Chhattisgarh, India"
35,"Durg, Chhattisgarh, India"
36,"Siddipet, Telangana, India"
37,"Jalgaon Jamod, Maharashtra, India"
38,"Bhusawal, Maharashtra, India"
39,"Orai, Uttar Pradesh, India"
40,"Lucknow, Uttar Pradesh, India"
41,"Sambhal, Uttar Pradesh, India"
42,"Hodal, Haryana, India"
43,"Delhi, India"
44,"Roorkee, Uttarakhand, India"
45,"Jagadhri, Haryana, India"
46,"Malerkotla, Punjab, India"
47,"Sardarshahar, Rajasthan, India"
48,"Chittorgarh, Rajasthan, India"
49,"Banswara, Rajasthan, India"
50,"Himmatnagar, Gujarat, India"
51,"Pindwara, Rajasthan, India"
52,"Sirohi, Rajasthan, India"
53,"Patan, Gujarat, India"
54,"Surendranagar, Gujarat, India"
55,"Gondal, Gujarat, India"
56,"Mahuva, Gujarat, India"
57,"Goregaon, Mumbai, Maharashtra, India"
58,"Mumbai, Maharashtra, India"
59,"Ambernath, Maharashtra, India"
60,"Rasayani, Maharashtra, India"
61,"Ratnagiri, Maharashtra, India"
62,"Jaysingpur, Maharashtra, India"
63,"Gokak, Karnataka, India"
64,"Belgaum, Karnataka, India"
65,"Kushtagi, Karnataka, India"
66,"Harihar, Karnataka, India"
67,"Ranebennur, Karnataka, India"
68,"Sagar, Karnataka, India"
69,"Huliyar, Karnataka, India"
