seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Thiruvalla, Kerala, India"
2,"Kollam, Kerala, India"
3,"Karaikal, Puducherry, India"
4,"Mettur, Tamil Nadu, India"
5,"Channapatna, Karnataka, India"
6,"Ramanagara, Karnataka, India"
7,"Chikkaballapura, Karnataka, India"
8,"Bhusawal, Maharashtra, India"
9,"Raipur, Chhattisgarh, India"
10,"Chatrapur, Odisha, India"
11,"Bhubaneswar, Odisha, India"
12,"Medinipur, West Bengal, India"
13,"Haringhata, West Bengal, India"
14,"Suri, West Bengal, India"
15,"Pakur, Jharkhand, India"
16,"Alipurduar, West Bengal, India"
17,"Jalpaiguri, West Bengal, India"
18,"Barh, Bihar, India"
19,"Lucknow, Uttar Pradesh, India"
20,"Delhi, India"
21,"Jagadhri, Haryana, India"
22,"Sardarshahar, Rajasthan, India"
23,"Chittorgarh, Rajasthan, India"
24,"Pindwara, Rajasthan, India"
25,"Sirohi, Rajasthan, India"
26,"Patan, Gujarat, India"
27,"Surendranagar, Gujarat, India"
28,"Mahuva, Gujarat, India"
29,"Goregaon, Mumbai, Maharashtra, India"
30,"Mumbai, Maharashtra, India"
31,"Rasayani, Maharashtra, India"
32,"Ratnagiri, Maharashtra, India"
33,"Jaysingpur, Maharashtra, India"
34,"Gokak, Karnataka, India"
35,"Belgaum, Karnataka, India"
36,"Sagar, Karnataka, India"
37,"Ranebennur, Karnataka, India"
38,"Harihar, Karnataka, India"
39,"Huliyar, Karnataka, India"
