seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Sagar, Karnataka, India"
2,"Belgaum, Karnataka, India"
3,"Gokak, Karnataka, India"
4,"Jaysingpur, Maharashtra, India"
5,"Ratnagiri, Maharashtra, India"
6,"Rasayani, Maharashtra, India"
7,"Mumbai, Maharashtra, India"
8,"Goregaon, Mumbai, Maharashtra, India"
9,"Ambernath, Maharashtra, India"
10,"Bhusawal, Maharashtra, India"
11,"Mahuva, Gujarat, India"
12,"Surendranagar, Gujarat, India"
13,"Patan, Gujarat, India"
14,"Himmatnagar, Gujarat, India"
15,"Sirohi, Rajasthan, India"
16,"Pindwara, Rajasthan, India"
17,"Chittorgarh, Rajasthan, India"
18,"Sardarshahar, Rajasthan, India"
19,"Malerkotla, Punjab, India"
20,"Jagadhri, Haryana, India"
21,"Delhi, India"
22,"Lucknow, Uttar Pradesh, India"
23,"Orai, Uttar Pradesh, India"
24,"Durg, Chhattisgarh, India"
25,"Raipur, Chhattisgarh, India"
26,"Surajpur, Chhattisgarh, India"
27,"Barh, Bihar, India"
28,"Jalpaiguri, West Bengal, India"
29,"Alipurduar, West Bengal, India"
30,"Pakur, Jharkhand, India"
31,"Suri, West Bengal, India"
32,"Haringhata, West Bengal, India"
33,"Medinipur, West Bengal, India"
34,"Jadugora, Jharkhand, India"
35,"Jorapokhar, Jharkhand, India"
36,"Bhubaneswar, Odisha, India"
37,"Chatrapur, Odisha, India"
38,"Vizianagaram, Andhra Pradesh, India"
39,"Kushtagi, Karnataka, India"
40,"Ranebennur, Karnataka, India"
41,"Harihar, Karnataka, India"
42,"Huliyar, Karnataka, India"
43,"Chikkaballapura, Karnataka, India"
44,"Ramanagara, Karnataka, India"
45,"Channapatna, Karnataka, India"
46,"Mettur, Tamil Nadu, India"
47,"Karaikal, Puducherry, India"
48,"Kollam, Kerala, India"
49,"Thiruvalla, Kerala, India"
