seq,place_name
0,"Nanjangud, Mysore, Karnataka, India"
1,"Huliyar, Karnataka, India"
2,"Sagar, Karnataka, India"
3,"Ranebennur, Karnataka, India"
4,"Harihar, Karnataka, India"
5,"Kushtagi, Karnataka, India"
6,"Belgaum, Karnataka, India"
7,"Gokak, Karnataka, India"
8,"Jaysingpur, Maharashtra, India"
9,"Ratnagiri, Maharashtra, India"
10,"Rasayani, Maharashtra, India"
11,"Mumbai, Maharashtra, India"
12,"Goregaon, Mumbai, Maharashtra, India"
13,"Ambernath, Maharashtra, India"
14,"Bhusawal, Maharashtra, India"
15,"Mahuva, Gujarat, India"
16,"Surendranagar, Gujarat, India"
17,"Patan, Gujarat, India"
18,"Himmatnagar, Gujarat, India"
19,"Banswara, Rajasthan, India"
20,"Chittorgarh, Rajasthan, India"
21,"Pindwara, Rajasthan, India"
22,"Sirohi, Rajasthan, India"
23,"Sardarshahar, Rajasthan, India"
24,"Malerkotla, Punjab, India"
25,"Jagadhri, Haryana, India"
26,"Roorkee, Uttarakhand, India"
27,"Delhi, India"
28,"Sambhal, Uttar Pradesh, India"
29,"Orai, Uttar Pradesh, India"
30,"Lucknow, Uttar Pradesh, India"
31,"Harnaut, Bihar, India"
32,"Barh, Bihar, India"
33,"Jalpaiguri, West Bengal, India"
34,"Alipurduar, West Bengal, India"
35,"Manikchak, West Bengal, India"
36,"Suti, West Bengal, India"
37,"Pakur, Jharkhand, India"
38,"Suri, West Bengal, India"
39,"Haringhata, West Bengal, India"
40,"Medinipur, West Bengal, India"
41,"IIT Kharagpur, India"
42,"Jadugora, Jharkhand, India"
43,"Jorapokhar, Jharkhand, India"
44,"Surajpur, Chhattisgarh, India"
45,"Raipur, Chhattisgarh, India"
46,"Durg, Chhattisgarh, India"
47,"Vizianagaram, Andhra Pradesh, India"
48,"Chatrapur, Odisha, India"
49,"Bhubaneswar, Odisha, India"
50,"Port Blair, Andaman and Nicobar Islands, India"
51,"Kavali, Andhra Pradesh, India"
52,"Dharmavaram, Andhra Pradesh, India"
53,"Chikkaballapura, Karnataka, India"
54,"Ramanagara, Karnataka, India"
55,"Channapatna, Karnataka, India"
56,"Mettur, Tamil Nadu, India"
57,"Karaikal, Puducherry, India"
58,"Kollam, Kerala, India"
59,"Thiruvalla, Kerala, India"
